"","municipality","code","DP","state","year","eb_ntp","eb_nmr","eb_ndvr","eb_npir","eb_nubr","nimr","Litr","nmpr","nmrpr"
"108","Cabrera",25120,25,"Cundinamarca",2003,9997.95497286393,9990.51769983305,NA,NA,92.5281376046707,NA,NA,NA,NA
"109","Cabrera",68121,68,"Santander",2003,9995.99506700215,9997.32089803064,NA,NA,93.7219549528208,NA,NA,NA,NA
"110","Cabuyaro",50124,50,"Meta",2003,9997.56910471786,9993.80508242732,NA,NA,95.2581807634009,NA,NA,NA,NA
"111","Cachipay",25123,25,"Cundinamarca",2003,9997.13143667508,9998.64192019688,NA,NA,92.1083786666364,NA,NA,NA,NA
"112","Caicedo",5125,5,"Antioquia",2003,9989.81999910732,9994.92683764901,NA,NA,91.6490803245613,NA,NA,NA,NA
"113","Caicedonia",76122,76,"Valle del Cauca",2003,9987.24219069241,9987.73079808592,NA,NA,92.5863798575822,NA,NA,NA,NA
"114","Caimito",70124,70,"Sucre",2003,9999.4537962737,9997.11757081116,NA,NA,92.1299052802161,NA,NA,NA,NA
"115","Cajamarca",73124,73,"Tolima",2003,9992.25412387647,9989.25717498499,NA,NA,94.8452890431216,NA,NA,NA,NA
"116","Calamar",95015,95,"Guaviare",2003,9999.15830619161,9986.77899029381,NA,NA,94.0012368583797,NA,NA,NA,NA
"117","Caldas",5129,5,"Antioquia",2003,9994.79699547287,9990.63172552672,NA,NA,91.0582762256576,NA,NA,NA,NA
"118","Caldono",19137,19,"Cauca",2003,9999.87816309162,9998.2304162034,NA,NA,94.4420429099072,NA,NA,NA,NA
"119","Cali",76001,76,"Valle del Cauca",2003,9999.35013069194,9989.72152750061,NA,NA,92.5863798575822,NA,NA,NA,NA
"120","California",68132,68,"Santander",2003,9995.76597631863,9996.06868952123,NA,NA,93.448956056294,NA,NA,NA,NA
"121","Calima",76126,76,"Valle del Cauca",2003,9995.58723881636,9989.72883912045,NA,NA,92.5863798575822,NA,NA,NA,NA
"122","Caloto",19142,19,"Cauca",2003,9999.36781804292,9996.11597122287,NA,NA,94.2296526222743,NA,NA,NA,NA
"123","Campamento",5134,5,"Antioquia",2003,9997.81459961188,9995.8183039225,NA,NA,92.3848855140908,NA,NA,NA,NA
"124","Siachoque",15740,15,"Boyacá",2003,9999.38635216169,9996.76446602852,NA,NA,90.1592167967929,NA,NA,NA,NA
"125","Campoalegre",41132,41,"Huila",2003,9980.1093033705,9993.97457933962,NA,NA,95.6972037442859,NA,NA,NA,NA
"126","Candelaria",76130,76,"Valle del Cauca",2003,9999.47673810695,9993.65551160013,NA,NA,92.5863798575822,NA,NA,NA,NA
"127","Iles",52352,52,"Nariño",2003,9999.51629823178,9996.88893138542,NA,NA,93.2264692470609,NA,NA,NA,NA
"128","Capitanejo",68147,68,"Santander",2003,9998.59295928071,9996.67940141855,NA,NA,92.9816003466583,NA,NA,NA,NA
"129","Caramanta",5145,5,"Antioquia",2003,9966.6875010444,9996.11258552871,NA,NA,92.3142335853889,NA,NA,NA,NA
"130","Carepa",5147,5,"Antioquia",2003,9999.58801645933,9994.66119155169,NA,NA,93.7457310840883,NA,NA,NA,NA
"131","Bolívar",68101,68,"Santander",2003,9998.71291824961,9995.63668146473,NA,NA,93.0096000259578,NA,NA,NA,NA
"132","Cocorná",5197,5,"Antioquia",2003,9998.48765099975,9977.50273594853,NA,NA,92.0065474273799,NA,NA,NA,NA
"133","Bajo Baudó",27077,27,"Chocó",2003,9999.07696049656,9999.05257890735,NA,NA,90.8884214321566,NA,NA,NA,NA
"134","Carolina",5150,5,"Antioquia",2003,9990.39513569319,9990.87660569013,NA,NA,91.5793700849497,NA,NA,NA,NA
"135","Bolívar",76100,76,"Valle del Cauca",2003,9995.68444165323,9992.27125150879,NA,NA,92.5863798575822,NA,NA,NA,NA
"136","Sáchica",15638,15,"Boyacá",2003,9998.99665569657,9998.94821530559,NA,NA,90.867597499142,NA,NA,NA,NA
"137","Cartago",76147,76,"Valle del Cauca",2003,9987.76808232176,9987.74049808351,NA,NA,92.5863798575822,NA,NA,NA,NA
"138","Casabianca",73152,73,"Tolima",2003,9998.89715885465,9991.18568052591,NA,NA,94.4035806874102,NA,NA,NA,NA
"139","Suárez",19780,19,"Cauca",2003,9999.81340176636,9998.94640160197,NA,NA,92.7887704448845,NA,NA,NA,NA
"140","Caucasia",5154,5,"Antioquia",2003,9998.26939774278,9998.44346709047,NA,NA,93.5869818222001,NA,NA,NA,NA
"141","Cerrito",68162,68,"Santander",2003,9998.62852857729,9997.49554131054,NA,NA,93.1909908868055,NA,NA,NA,NA
"142","Arboleda",52051,52,"Nariño",2003,9999.50339809126,9997.91411019239,NA,NA,92.7326259403519,NA,NA,NA,NA
"143","Chaparral",73168,73,"Tolima",2003,9996.85430783727,9994.11233987692,NA,NA,94.8941271681278,NA,NA,NA,NA
"144","Charta",68169,68,"Santander",2003,9997.45114933785,9994.61902468937,NA,NA,93.8892610612409,NA,NA,NA,NA
"145","Chima",68176,68,"Santander",2003,9997.54044076526,9993.68179200136,NA,NA,94.1887722162042,NA,NA,NA,NA
"146","Chimichagua",20175,20,"Cesar",2003,9999.43818342727,9997.03069935122,NA,NA,94.2850240847522,NA,NA,NA,NA
"147","Chipaque",25178,25,"Cundinamarca",2003,9996.63483859195,9996.29360646223,NA,NA,89.7006202652677,NA,NA,NA,NA
"148","Chivolo",47170,47,"Magdalena",2003,9999.59879526771,9998.47933173248,NA,NA,94.9276276986256,NA,NA,NA,NA
"149","Montecristo",13458,13,"Bolívar",2003,9999.34063940911,9997.85224257676,NA,NA,92.6019960200463,NA,NA,NA,NA
"150","Cimitarra",68190,68,"Santander",2003,9999.70878498596,9995.81181811013,NA,NA,94.7343159670993,NA,NA,NA,NA
"151","Circasia",63190,63,"Quindio",2003,9997.5573856823,9995.44791492826,NA,NA,92.982245681382,NA,NA,NA,NA
"152","Cisneros",5190,5,"Antioquia",2003,9987.67443069699,9995.81432995937,NA,NA,92.0433815917449,NA,NA,NA,NA
"153","Timaná",41807,41,"Huila",2003,9995.97564986402,9997.05997742079,NA,NA,95.6069231064168,NA,NA,NA,NA
"154","Coello",73200,73,"Tolima",2003,9993.86298809945,9994.74078547823,NA,NA,95.2653387282867,NA,NA,NA,NA
"155","Cogua",25200,25,"Cundinamarca",2003,9995.59340157779,9998.11074455403,NA,NA,90.9130305305699,NA,NA,NA,NA
"156","Colombia",41206,41,"Huila",2003,9995.47640062463,9990.78074558449,NA,NA,95.6070218963316,NA,NA,NA,NA
"157","Coloso",70204,70,"Sucre",2003,9999.1370640664,9977.12965120911,NA,NA,92.5480817504566,NA,NA,NA,NA
"158","Concordia",5209,5,"Antioquia",2003,9998.04382250815,9992.90632266246,NA,NA,92.5796925127881,NA,NA,NA,NA
"159","Concordia",47205,47,"Magdalena",2003,9999.47682517269,9997.81060261302,NA,NA,93.9730609908902,NA,NA,NA,NA
"160","Confines",68209,68,"Santander",2003,9994.01486784686,9995.41889775181,NA,NA,93.9223803186483,NA,NA,NA,NA
"161","Riosucio",27615,27,"Chocó",2003,9999.78671430717,9998.77670645438,NA,NA,89.2801242389702,NA,NA,NA,NA
"162","Copacabana",5212,5,"Antioquia",2003,9996.98720366679,9993.68618544273,NA,NA,91.4938461848449,NA,NA,NA,NA
"163","Corinto",19212,19,"Cauca",2003,9998.44822149917,9993.24677803784,NA,NA,95.0776142731336,NA,NA,NA,NA
"164","Coromoro",68217,68,"Santander",2003,9998.7805608544,9996.20723629374,NA,NA,93.3532250533527,NA,NA,NA,NA
"165","Corozal",70215,70,"Sucre",2003,9996.55717068333,9997.44547352463,NA,NA,91.0336790331447,NA,NA,NA,NA
"166","Cota",25214,25,"Cundinamarca",2003,9974.28825270353,9997.73338546901,NA,NA,90.2472029839421,NA,NA,NA,NA
"167","Coyaima",73217,73,"Tolima",2003,9998.31460775872,9994.45961550134,NA,NA,95.0282970955283,NA,NA,NA,NA
"168","Maní",85139,85,"Casanare",2003,9998.66869634185,9994.16423137296,NA,NA,95.8889669711876,NA,NA,NA,NA
