POLY_ID,DPTO_CC,DPTO_CN,MPIO_CCD,MPIO_CCN,MPIO_CN,MPIO_CR,MPIO_NAN,MPIO_NAR,NMr2022,Shap_Ar,Shp_Lng,above03,above18,above22,below03,below18,below22,e__2003,e__2018,JC18,NN18,PP_VAL18,JC22,NN22,PP_VAL22
174,13,BOLÍVAR,549,   13549.000000000000000,PINILLOS,1900,2018,     775.568725435000030,    9999.039515243219300,       0.063748724720000,       2.158862544160000,       1.000000000000000,       1.000000000000000,       1.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,    9998.754466933169200,    9998.541079164440800,0,9,,0,9,
175,13,BOLÍVAR,580,   13580.000000000000000,REGIDOR,Ordenanza 40 de diciembre 1 de 1995,2018,     183.452689176000010,    9998.852931872759700,       0.015073356250000,       0.898604571760000,       1.000000000000000,       1.000000000000000,       1.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,    9998.972105698849200,    9998.371983664059400,0,5,,0,5,
176,13,BOLÍVAR,600,   13600.000000000000000,RÍO VIEJO,Ordenanza 10 de Noviembre 26 de 1982,2018,     845.236492594999960,    9998.815586374150400,       0.069408275420000,       3.030579655150000,       1.000000000000000,       1.000000000000000,       1.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,    9999.500891730289400,    9998.485723512400000,0,10,,0,10,
177,13,BOLÍVAR,620,   13620.000000000000000,SAN CRISTÓBAL,ORD 36 DE FEBRERO DE 1996,2018,      42.268805397199998,    9998.892155264449700,       0.003488433360000,       0.301724884570000,       1.000000000000000,       1.000000000000000,       1.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,    9997.816662911140200,    9998.459845162080500,0,5,,0,5,
178,13,BOLÍVAR,647,   13647.000000000000000,SAN ESTANISLAO,1936,2018,     211.639256673999990,    9998.982363026660100,       0.017464807390000,       0.715869716650000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,       0.000000000000000,       0.000000000000000,    9996.697195811209900,    9998.541785007659200,0,6,,0,6,
179,13,BOLÍVAR,650,   13650.000000000000000,SAN FERNANDO,1832,2018,     317.324988094999980,    9999.004091542030400,       0.026098394870000,       1.116864748550000,       1.000000000000000,       1.000000000000000,       1.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,    9998.623743423029700,    9998.305374706609700,0,6,,0,6,
180,13,BOLÍVAR,654,   13654.000000000000000,SAN JACINTO,1899,2018,     442.915990641000010,    9999.256830707019600,       0.036493788380000,       1.349255145040000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,       0.000000000000000,       0.000000000000000,    9990.909999999999900,    9998.909999999999900,0,4,,0,4,
181,13,BOLÍVAR,655,   13655.000000000000000,SAN JACINTO DEL CAUCA,ORD 13 DE MAYO 09 DE 1997,2018,     569.950700706000020,    9998.480878278129200,       0.046768203040000,       1.794834646020000,       1.000000000000000,       1.000000000000000,       1.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,    9999.109936568709600,    9998.483977234989700,0,5,,0,5,
182,13,BOLÍVAR,657,   13657.000000000000000,SAN JUAN NEPOMUCENO,1780,2018,     631.224741093000030,    9999.080395844630400,       0.052031127280000,       1.663275113750000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,       0.000000000000000,       0.000000000000000,    9996.608486590330400,    9998.654642827190400,0,7,,0,7,
183,13,BOLÍVAR,667,   13667.000000000000000,SAN MARTÍN DE LOBA,1690,2018,     450.198126748999980,    9999.081266035960700,       0.036997343610000,       1.447611519240000,       1.000000000000000,       1.000000000000000,       1.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,    9999.290000000000900,    9998.690000000000500,0,7,,0,7,
184,13,BOLÍVAR,670,   13670.000000000000000,SAN PABLO,Ordenanza 2 de Octubre 30 de 1968,2018,    2021.035991300000000,    9995.925228687780000,       0.165540448670000,       3.246682957890000,       1.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,       1.000000000000000,       1.000000000000000,    9999.243076501330500,    9996.981655165929600,5,6,       0.022000000000000,4,6,       0.080000000000000
185,13,BOLÍVAR,673,   13673.000000000000000,SANTA CATALINA,1772,2018,     172.774220267000000,    9998.783014792219500,       0.014269857030000,       1.051039713990000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,       0.000000000000000,       0.000000000000000,    9996.021633584880000,    9998.462940552770300,0,6,,0,6,
